Username,Comment
@Kabir0876,Redmi pad pro 5g
@rjtechnology4073,Big Bhaia itna subscriber kaise badhaye
@ONERAMA26,Lava bold 5g mai video
@AazanQureshi-y5q,Sir plz Samsung tab s10fe+
@manasibanerjeemukherjee5418,60k ke niche tab;et please.. for study
@Atharvkhubanvar,Oppo and Moto main kya similar batao
@techgamer3837,"Redmi Pad 7 is unbeatable really. 
Best Gaming, Best software at it's price.. Overall an Allrounder."
@sarikasingh9108,Next video on laptop review 25
@vishalpadutechuubi1998,Poco pad have the Sim 5g
@divyanshusinha7645,meanwhile me who was expecting s9 fe to be on this list kyuki ofc trump tariff and samsung provides better reliability in all aspects than redmi and other android tabs
@arenaprogaming9351,Is WhatsApp available in ipad 11gen
@kapil_007,Refurbished iphone 15 pro max  lena chaiya ke nahi
@officialtyagi9983,Yogo ji ki mehrbani se me Samsung A9 tab use kar rha hu GZB ka tab hai 
@hazratali-lz2nr,Redmi pad pro bast
